@relation arabicText

@attribute arabicclass {Dialect,MSA}
@attribute text String

@data
Dialect,'و الله حرام و الله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء و الله حرام'
MSA,'و الله هذا حرام، و الله أمتوه للشعب الأردني من أين لنا أن نؤتيكم من أين يا الله، إرحموا من في الأرض يرحمكم من في السماء و الله حرام'
Dialect,'البنزين يجي من السعوديه بأقل الاسعار و الحكومه عندنا تدبل سعره'
MSA,'البنزين يأتي من السعودية بأقل الأسعار و الحكومة عندنا تضاعف سعره'
Dialect,'الله يوخذكم'
MSA,'أخذكم الله'
Dialect,'شو هاد البرنامج معقول عرضوه على القنوات!!!!!!!!!!!!!'
MSA,'ما هذا البرنامج هل من المعقول أنهم عرضوه على القناوات'
Dialect,'للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
MSA,'للأسف يعتقد البعض ان المفاعل النووي سوف يحل مشاكلنا الإقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما أعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
Dialect,'الله يخرب بيوتكن و يخرب كل الحكومة الفاسدة'
MSA,'خرب الله بيوتكم و خرب كل الحكومة الفاسدة'
Dialect,'للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
MSA,'للأسف يعتقد البعض ان المفاعل النووي سوف يحل مشاكلنا الإقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما أعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
Dialect,'للي مفكرين المفاعل راح يطورهم - المفاعل راح يدمر الأردن و المنطقة اللي حولها لأن الفساد الموجود بالأردن مش موجود بدوله أخرى وهذا يعني أن الفاسدين رايحين يسمسروا و يلهفوا لما يوصلوا اشكل مفاعل للأردن و ناسين أن المفاعل يحتاج إلى بحر ماء للتبريد و نحن لانملك ماء للشرب و ناسين أن التطور يكون بمشاركة الجميع و ليس بقرار فردي و ناسين أن الذي أقر المفاعل هو المحتكر الأول هيئة الطاقة و أن شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية و التعليم ؟؟؟ لدول المتقدمة بدأت تبحث عن بدائل للمفاعلات و احنا بنشتري الخربان منهم مشان التقدم و بلدنا بفضل الله لديها طاقة الرياح و طاقة الشمس لماذا لا يتم إستغلالها بدل المفاعل النووي طالما أكلنا معظمه فاسد و غير صالح بسبب الجشع و الطمع و الفساد.'
MSA,'الذين يعتقدون أن المفاعل سوف يطورهم - المفاعل سوف يدمر الأردن و المنطقة التي حولها لأن الفساد الموجود في الأردن غير موجود بدولة أخرى وهذا يعني أن الفاسدين سوف يسمسروا و يلهفوا إلى أن يصلوا لشكل مفاعل للأردن  ناسين أن المفاعل يحتاج إلى ماء كثير للتبريد و نحن لا نملك ماءً للشرب و ناسين أن التطور يكون بمشاركة الجميع و ليس بقرار فردي و ناسين أن الذي أقرّ المفاعل هو المحتكر الأول هيئة الطاقة و أن شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية و التعليم ؟؟؟ الدول المتقدمة بدأت تبحث عن بدائل للمفاعلات و نحن نشتري المتعطل منهم من أجل التقدم و بلدنا بفضل الله لديها طاقة الرياح و الطاقة الشمسية لماذا لا يتم إستغلالها بدلا عن المفاعل النووي طالما أن طعامنا معظمه فاسد و غير صالح بسبب الجشع و الطمع و الفساد.'
Dialect,'يا اخوان ... مش عارف ليش النووي و احنا عندنا النووي الطبيعي ...شمس و رياح ( نسبة سطوع الشمس بالمملكه على مدار العام 290 يوم من 365 يوم ) و عندنا بالاردن اذا خط ماء بينضرب بيقعدوا اسبوع الى 4 اسابيع لما يصلحوه ,,, ايش بده يصير فينا بكره مع النووي ... بالاضافه الى انه ما عندنا ماء نشرب ... من وين بدنا نجيب للتبريد ... الله يهديهم'
MSA,'يا إخوان ... لا أعلم لما النووي و نحن لدينا النووي الطبيعي ...شمس و رياح ( نسبة سطوع الشمس بالمملكه على مدار العام 290 يوم من 365 يوم ) و عندنا بالاردن إذا تعطل خط ماء يستغرقوا اسبوع الى 4 اسابيع لإصلاحه ,,, ماذا سيحصل لنا غدا مع النووي ... بالاضافه الى انه ليس لدينا ماء للشرب ... من أين لنا ماء للتبريد ... الله يهديهم'
Dialect,' من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم و معرفة بالعلوم النووية و الطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة و نظرية اينشتاين للطاقة و نظريات الفيزياء الكمية و البحث في عمر البروتون و النيوترينو والكواركات واللبتونات والuncertainty principle و النظائر المشعة و تفتيت الذرة و اشعة جاما و بيتا و الفا و الراديوم و البلوتونيوم و البروتونات و كافة النظريات بما فيها انواع المفاعلات النووية و تجارب الامم فيها مثل اليابان و المانيا و روسيا و فرنسا و امريكا و للعلم فقط انها علوم نظريا سهلة و بسيطة و يستطيع فهمها حتى الانسان ذو الخلفية و الرغبة العلمية و على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه و نسير فيه بهذا الخصوص بموازنة المخاطر و المكاسب و بعدها و على اساس النتيجة و الفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا'
